,date,text,screen_name,followers_count,friends_count,retweet_count,favorite_count
130,2020-02-16 04:26:51,"Billionaires fund left wing outlets like The New York Times (Carlos Slim), WaPo (Bezos), and The Intercept (Pierre) and no one seems to mind. This is what democracy looks like! 

Big dick daddy Bloomberg skips the media middle man, now it’s a problem.",Cernovich,551074,3027,249,1034
131,2020-02-16 04:24:40,RT @IWashington: Let ‘em rest...#IsaiahWashingtonKitchenTalk https://t.co/WpcIxaN335,Cernovich,551074,3027,21,0
132,2020-02-16 04:13:41,😷😷😷 https://t.co/XHpinduaK4,Cernovich,551074,3027,37,118
133,2020-02-16 04:12:24,"RT @PostKranish: EXCLUSIVE: In first interview, witness says he heard @mikebloomberg tell pregnant saleswoman at the company: “Are you goin…",Cernovich,551074,3027,1507,0
134,2020-02-16 04:12:14,"RT @jonfitchdotnet: Dang. Been there. Can’t throw lazy leg kicks. Will have to talk about it with @JasonBermas 

#ufc",Cernovich,551074,3027,5,0
135,2020-02-16 04:00:36,"RT @JFNYC1: I'd like to buy her a beer.

😂👍 https://t.co/xbY5WzA4rT",Cernovich,551074,3027,751,0
136,2020-02-16 03:56:06,RT @Mediaite: WATCH: Humiliating Video Montage of Slobbering Media Love Affair with Michael Avenatti is… Yikes https://t.co/BYbYUdcOWY,Cernovich,551074,3027,226,0
137,2020-02-16 03:55:23,RT @IskconInc: Hari Naam Sankirtan in London! https://t.co/eGFbVRq2di,Cernovich,551074,3027,329,0
138,2020-02-16 03:54:26,Why the Left Is Losing https://t.co/ifB46LSxuB,Cernovich,551074,3027,52,160
139,2020-02-16 03:51:00,"RT @TrumpJew: Bloomberg invites an 11 year old girl onstage and kisses her

Then he says “I’m shameless”

WTF is this??? https://t.co/tZqsP…",Cernovich,551074,3027,774,0
140,2020-02-16 03:47:09,Thoughts https://t.co/3Qpoq2JJm2,Cernovich,551074,3027,3,45
141,2020-02-16 03:32:13,"RT @mrddmia: President William Henry Harrison set the record for the shortest presidential term, dying a mere 31 days in office.

With a Vi…",Cernovich,551074,3027,1066,0
142,2020-02-16 03:31:28,RT @LevineJonathan: Biden really is at his best with this kind of retail engagement. You can get a real sense of the joy he personally gets…,Cernovich,551074,3027,51,0
143,2020-02-16 03:30:27,"RT @_YvonneBurton: @ggreenwald @Cernovich I have been a lifelong Republican, after Trump I will probably be no longer Republican...we shall…",Cernovich,551074,3027,13,0
144,2020-02-16 03:27:57,RT @_YvonneBurton: Wow...Barren is really growing! https://t.co/Ymy2z6Y6UC,Cernovich,551074,3027,154,0
145,2020-02-16 03:26:06,"RT @ggreenwald: This is exactly correct, which is what makes the extreme, concerted, deliberate over-representation of #NeverTrump pundits…",Cernovich,551074,3027,148,0
146,2020-02-16 03:24:53,"RT @CarpeDonktum: @Cernovich Stealing signs has always been a part of the game, pretty sure every team is guilty.

Knowing what pitch is co…",Cernovich,551074,3027,39,0
147,2020-02-16 03:23:16,RT @AmirSymmetry: Modern people date/mate only if they can lower the risk and discomfort of the dating/mating process to zero. Yet still ex…,Cernovich,551074,3027,35,0
148,2020-02-16 03:22:56,"RT @RandPaul: Nowhere in my speech did I accuse anyone of being a whistleblower, nor do I know the whistleblower’s identity. YouTube has ta…",Cernovich,551074,3027,15612,0
149,2020-02-16 03:13:29,RT @Xtermix_: this is why u always stay humble. https://t.co/cHk5BmDzyb,Cernovich,551074,3027,85907,0
150,2020-02-16 03:08:41,Did the Astros cheat?,Cernovich,551074,3027,19,230
151,2020-02-16 03:07:15,RT @JackPosobiec: Astros fans call for a boycott after Buffalo Wild Wings fries cheating teams  https://t.co/jN5WSY7VRX,Cernovich,551074,3027,31,0
152,2020-02-16 03:02:48,"RT @lhfang: Teacher union leader chides Bernie and praises the presidential prospects of Bloomberg, an avowed opponent of teachers unions h…",Cernovich,551074,3027,236,0
153,2020-02-16 02:58:24,"RT @kausmickey: Those toupees don't buy themselve, you know",Cernovich,551074,3027,52,0
154,2020-02-16 02:57:46,"RT @marlo_safi: Persian Love Cake, Round 2. I am a sucker for rose water 🤤 https://t.co/RTuBbBV1Df",Cernovich,551074,3027,15,0
155,2020-02-16 02:57:37,"RT @Sarah_M_Wojcik: “Wouldn’t it be so hard if there was cookies falling from the sky &amp; you had to catch them all on a plate?”

Bedtime dis…",Cernovich,551074,3027,8,0
156,2020-02-16 02:56:35,"RT @mcdermott: i often think about the late-’90s/early ’00s dunk contests and all the players sitting court side, recording on their handhe…",Cernovich,551074,3027,11,0
157,2020-02-16 02:55:36,"RT @MauraBarrettNBC: Before @MikeBloomberg's event in Richmond tn - voter Deb Childs told me she's aware of his ""women issues,"" but she's ""…",Cernovich,551074,3027,79,0
