DBN,SCHOOL NAME,PSAL Program Code,PSAL Program Name,
16K594,Gotham Professional Arts Academy,16502,Boys and Girls High School,
16K765,Nelson Mandela High School,16502,Boys and Girls High School,
16K959,BOYS AND GIRLS YABC,16502,Boys and Girls High School,
08X432,Bronx Bridges High School,08570,Bronx Bridges High School,
09X324,Bronx Early College Academy for Teaching & Learnin,09324,Bronx Early College AcademyTeaching & Learning,
10X445,The Bronx High School of Science,10501,Bronx HS Of Science,
09X525,Bronx Leadership Academy High School,09490,Bronx Leadership Academy,
84X703,Bronx Preparatory Charter School,09818,Bronx Preparatory Charter School,
12X480,Bronx Regional High School,09500,Bronx Regional,
09X505,"Bronx School for Law, Government and Justice",07402,"Bronx School/Law, Govt & Justice",
08X269,Bronx Studio School for Writers and Artists,08269,Bronx Studio School for Writers and Artists,
07X551,The Urban Assembly Bronx Academy of Letters,07551,Bronx United,
12X271,East Bronx Academy for the Future,07551,Bronx United,
84M382,DREAM Charter School,07551,Bronx United,
16K688,The Brooklyn Academy of Global Finance,16688,Brooklyn Academy of Global Finance,
18K578,Brooklyn Bridge Academy,18578,Brooklyn Bridge Academy,
22K555,Brooklyn College Academy,22480,Brooklyn College Academy,
17K489,W.E.B. Dubois Academic High School,23520,Brooklyn Collegiate HS,
23K493,Brooklyn Collegiate: A College Board School,23520,Brooklyn Collegiate HS,
15K423,Brooklyn Frontiers High School,15423,Brooklyn Frontiers High School,
16K498,Brooklyn High School for Law and Technology,15568,Brooklyn High School for Law and Technology,
13K350,Urban Assembly School for Music and Art,13566,Brooklyn International,
13K439,Brooklyn International High School,13566,Brooklyn International,
84K707,Brooklyn Prospect Charter School,15687,Brooklyn Prospect Charter School,
15K448,Brooklyn Secondary School for Collaborative Studie,15650,Brooklyn School For Collaborative Studies,
21K690,Brooklyn Studio Secondary School,21690,Brooklyn Studio Secondary School,
13K430,Brooklyn Technical High School,13507,Brooklyn Technical,
17K568,Brownsville Academy High School,17568,Brownsville Academy High School,
32K168,The Brooklyn School for Math and Research,32509,Bushwick Campus,
32K403,Academy for Environmental Leadership,32509,Bushwick Campus,
32K549,The Brooklyn School for Social Justice,32509,Bushwick Campus,
32K552,The Academy of Urban Planning and Engineering,32509,Bushwick Campus,
32K564,Bushwick Community High School,32564,Bushwick Community High School,
31R047,CSI High School for International Studies,31545,CSIHS/McCown,
31R064,Gaynor McCown Expeditionary Learning School,31545,CSIHS/McCown,
29Q326,Cambria Heights Academy,29326,Cambria Heights Academy,
29Q243,Institute for Health Professions at Cambria Height,29408,Campus Magnet,
29Q313,Benjamin Franklin High School for Finance & Inform,29408,Campus Magnet,
